Product ID,Category,Product Name,Specifications,Bin Location,Datasheet URL,Image URL,Original Source,seo_description,technical_specifications
A2D-1001,Microcontrollers & IoT,MSP EXP 432 P401,Dev Kit,RL6,https://www.ti.com/lit/ds/slas826e/slas826e.pdf,https://www.floridamemory.com/FMP/wpa_county_histories/medium/wpa_county_history_okaloosa_01_01.jpg,,"The MSP432P401R and MSP432P401M are low-power microcontrollers with advanced security features. With their small package type (100-pin PZ) and operating voltage range of 1.8V to 3.6V, these devices are suitable for various applications such as IoT devices, wearables, and smart home systems. Key technical features include a current rating of 12mA and interface types like UART, SPI, and I2C. The microcontrollers also offer advanced security features like encryption and decryption capabilities.","{
  ""Part Number"": ""MSP432P401R"",
  ""Product Type"": ""Microcontroller"",
  ""Manufacturer"": ""Texas Instruments"",
  ""Operating Voltage"": ""1.8V to 3.6V"",
  ""Current Rating"": ""12mA"",
  ""Package Type"": ""100-pin PZ"",
  ""Temperature Range"": ""N/A"",
  ""Interface"": ""UART, SPI, I2C"",
  ""Key Features"": [
    ""Low-power microcontroller"",
    ""Advanced security features""
  ],
  ""Applications"": [
    ""IoT devices"",
    ""Wearables"",
    ""Smart home systems""
  ]
}"
A2D-1002,Microcontrollers & IoT,CC31XXEMUBOOST,Rev 3,-,https://www.ti.com/lit/pdf/swrb034,https://www.ti.com/content/dam/ticom/images/products/ic/wireless-connectivity/evm-board/cc31xxemuboost-angled.png,,"Introducing the SimpleLink Wi-Fi CC3100/CC3200 Internet-on-a-chip solution for IoT and microcontroller applications. This single-chip wireless network processor features an 802.11 b/g/n station and access point mode, with integrated radio, baseband, and MAC. With its compact package type and low power consumption, this device enables battery-operated devices to connect to the cloud in under 200 ms. The CC3100/CC3200 is perfect for applications such as smart home automation, industrial control systems, and medical devices. Its embedded hardware crypto engine and TLS/SSL protocols ensure secure communication over Wi-Fi. Start developing your IoT projects today with this powerful and easy-to-use wireless microcontroller.","{
  ""Part Number"": ""A2D-1002"",
  ""Product Type"": ""Wi-Fi Microcontroller"",
  ""Manufacturer"": ""Texas Instruments"",
  ""Operating Voltage"": ""N/A"",
  ""Current Rating"": ""N/A"",
  ""Package Type"": ""QFN"",
  ""Temperature Range"": ""N/A"",
  ""Interface"": ""I2S, SD/MMC, ADC, SPI, UART, I2C, PWM"",
  ""Key Features"": [
    ""Single-chip wireless network processor"",
    ""802.11 b/g/n station and access point mode"",
    ""Integrated radio, baseband, and MAC""
  ],
  ""Applications"": [
    ""Smart Home Automation"",
    ""Industrial Control Systems"",
    ""Medical Devices""
  ]
}"
A2D-1003,Microcontrollers & IoT,CC3100 BOOST,-,-,https://www.ti.com/lit/pdf/swru371,https://www.ti.com/content/dam/ticom/images/products/ic/wireless-connectivity/evm-board/cc3100boost-angled.png,,"The CC3100 SimpleLink Wi-Fi and IoT Solution BoosterPack offers a flexible platform for adding Wi-Fi capabilities to microcontrollers. With its on-board chip antenna, this booster pack provides everything needed to create IoT solutions, including security, quick connection, and cloud support. Its compact design and package type make it suitable for various applications, such as wearable devices and portable electronics. Key features include its ability to operate at a voltage range of 3.3V, with a current rating of N/A, and its interface type being USB. This booster pack is ideal for IoT development, particularly in conjunction with the CC31XX EMU BoosterPack and the MSP-EXP430F5529LP LaunchPad.","{
  ""Part Number"": ""A2D-1003"",
  ""Product Type"": ""BoosterPack"",
  ""Manufacturer"": ""Texas Instruments"",
  ""Operating Voltage"": ""3.3V"",
  ""Current Rating"": ""N/A"",
  ""Package Type"": ""Compact design"",
  ""Temperature Range"": ""N/A"",
  ""Interface"": ""USB"",
  ""Key Features"": [
    ""On-board chip antenna"",
    ""Wi-Fi capabilities for microcontrollers""
  ],
  ""Applications"": [
    ""Wearable devices"",
    ""Portable electronics""
  ]
}"
A2D-1004,Microcontrollers & IoT,EM 40065,REV 4.0,-,https://docs.penndot.pa.gov/Public/Bureaus/BOCM/BOCM_MTD_LAB/Publications/Pub_35/Current_Edition/Bulletin15.pdf,https://i.ebayimg.com/images/g/LeEAAOSwQL9gqxKW/s-l1200.jpg,,"PennDOT's Bulletin 15 lists prequalified materials for construction projects. The A2D-1004 - EM 40065 is a microcontroller-based product designed for use in various applications, including traffic signals and roadside safety hardware. With its high-speed interface type, this product can efficiently process large amounts of data. Its operating voltage range is suitable for most modern electrical systems. This product's low power consumption makes it an ideal choice for battery-powered devices.","{
  ""Part Number"": ""N/A"",
  ""Product Type"": ""Microcontroller"",
  ""Manufacturer"": ""N/A"",
  ""Operating Voltage"": ""N/A"",
  ""Current Rating"": ""N/A"",
  ""Package Type"": ""N/A"",
  ""Temperature Range"": ""N/A"",
  ""Interface"": ""High-speed interface type"",
  ""Key Features"": [],
  ""Applications"": [
    ""Traffic signals"",
    ""Roadside safety hardware""
  ]
}"
A2D-1005,Microcontrollers & IoT,CC3200 MOD,LAUNCHXL (Rev 4),-,https://www.ti.com/lit/ds/symlink/cc3200mod.pdf,https://www.ti.com/content/dam/ticom/images/products/package/m/mob0063a.png:large,,"The CC3200MOD is a powerful wireless microcontroller from Texas Instruments, designed for low-power and secure IoT applications. With its on-chip Wi-Fi network processor, it enables easy integration of Wi-Fi connectivity into devices. Key features include a Cortex-M4 MCU core at 80 MHz, 256 KB RAM, and 1 MB flash memory. This device supports WPA2 encryption and has a temperature range of -40°C to +85°C.","{
  ""Part Number"": ""N/A"",
  ""Product Type"": ""Wireless Microcontroller"",
  ""Manufacturer"": ""Texas Instruments"",
  ""Operating Voltage"": ""2.3 V to 3.6 V"",
  ""Current Rating"": ""N/A"",
  ""Package Type"": ""QFM"",
  ""Temperature Range"": ""-40°C to +85°C"",
  ""Interface"": ""UART, SPI, I2C, ADC, McASP"",
  ""Key Features"": [
    ""On-chip Wi-Fi network processor"",
    ""WPA2 encryption""
  ],
  ""Applications"": [
    ""IoT devices"",
    ""wireless sensing""
  ]
}"
A2D-1006,Microcontrollers & IoT,Arduino Nano,Nano Cable with Panduit,-,https://www.bluetooth.com/wp-content/uploads/Files/Specification/Assigned_Numbers.pdf,https://store.arduino.cc/cdn/shop/files/ABX00143_04.box_934x700.jpg?v=1752653288,,"The A2D-1006 Arduino Nano is a microcontroller board based on the ATmega328P. It features a compact package type and operates within a voltage range of N/A. This product includes key technical features such as feature1 and feature2, making it suitable for applications like app1 and app2. Its interface type allows for seamless connection to various devices.","{
  ""Part Number"": ""A2D-1006"",
  ""Product Type"": ""Microcontroller Board"",
  ""Manufacturer"": ""N/A"",
  ""Operating Voltage"": ""N/A"",
  ""Current Rating"": ""N/A"",
  ""Package Type"": ""Compact"",
  ""Temperature Range"": ""N/A"",
  ""Interface"": ""Various Devices"",
  ""Key Features"": [
    ""Microcontroller-based"",
    ""Compact Package""
  ],
  ""Applications"": [
    ""IoT Development"",
    ""Robotics""
  ]
}"
A2D-1007,Microcontrollers & IoT,Arduino Uno,Logic Level / M45+,-,Not Found,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/6d39760b-6505-4190-95b3-cdb9c8c877f3.__CR956,0,1200,900_PT0_SX600_V1___.jpg",,,
A2D-1008,Microcontrollers & IoT,ESP-32 WROOM,Amit VCC / WROOM-32 / Espire,RB12,https://hmd-wp.go-vip.net/wp-content/uploads/2024/04/Franchise-Disclosure-Document-2024-US-Home2.pdf,https://cdn-shop.adafruit.com/970x728/3269-04.jpg,,,"{
  ""Part Number"": ""N/A"",
  ""Product Type"": ""N/A"",
  ""Manufacturer"": ""N/A"",
  ""Operating Voltage"": ""N/A"",
  ""Current Rating"": ""N/A"",
  ""Package Type"": ""N/A"",
  ""Temperature Range"": ""N/A"",
  ""Interface"": ""N/A"",
  ""Key Features"": [],
  ""Applications"": []
}"
A2D-1009,Microcontrollers & IoT,ESP8266,Mod (AI-Thinker) / Mini Node MCU,-,https://handsontec.com/dataspecs/module/esp8266-V13.pdf,https://cdn-shop.adafruit.com/970x728/3046-07.jpg,,"The ESP8266-based NodeMCU WiFi Development Board (A2D-1009) offers a comprehensive microcontroller solution for IoT applications. With its built-in USB connector, this board enables easy flashing using Arduino IDE. Key features include Wi-Fi Direct and soft-AP capabilities, as well as analog-to-digital conversion with 1024-step resolution. This module is ideal for projects requiring WiFi connectivity, such as home automation systems or industrial control panels. Additionally, the ESP8266's 32-bit processor and 802.11b/g/n support make it suitable for various IoT applications.","{
  ""Part Number"": ""A2D-1009"",
  ""Product Type"": ""Microcontroller Development Board"",
  ""Manufacturer"": ""Espressif Systems (via Handson Technology)"",
  ""Operating Voltage"": ""3.3V"",
  ""Current Rating"": ""10uA~170mA"",
  ""Package Type"": ""Module"",
  ""Temperature Range"": ""N/A"",
  ""Interface"": ""USB, GPIOs"",
  ""Key Features"": [
    ""Wi-Fi Direct"",
    ""Soft-AP"",
    ""Analog-to-Digital Conversion""
  ],
  ""Applications"": [
    ""IoT Development"",
    ""Home Automation Systems"",
    ""Industrial Control Panels""
  ]
}"
A2D-1010,Microcontrollers & IoT,NRF24L01,Module / Wireless Data Transmission,RB12,https://cwd-dsec.de/fileadmin/content/comot/cwd-dsec/Infoseite/CWD_2025_Conference_Proceedings.pdf,https://www.alstembio.com/web/images/products/NRL01-img1.jpg,,"Introducing the A2D-1010 NRF24L01 module, a cutting-edge microcontroller solution for IoT applications. With its Next Generation Plain Bearing Technology, this product offers increased gearbox torque density, cost competitiveness, and high operational robustness. Key features include floating sleeve plain bearing design and dual film bearing concept. Applications include wind turbine gearboxes, where the A2D-1010's reliable performance and durability ensure efficient energy production. This module is perfect for developers seeking a robust and efficient solution for their IoT projects.","{
  ""Part Number"": ""A2D-1010"",
  ""Product Type"": ""Microcontrollers & IoT"",
  ""Manufacturer"": ""NRF24L01"",
  ""Operating Voltage"": ""N/A"",
  ""Current Rating"": ""N/A"",
  ""Package Type"": ""N/A"",
  ""Temperature Range"": ""N/A"",
  ""Interface"": ""N/A"",
  ""Key Features"": [
    ""Next Generation Plain Bearing Technology"",
    ""Floating Sleeve Plain Bearing Design"",
    ""Dual Film Bearing Concept""
  ],
  ""Applications"": [
    ""Wind Turbine Gearboxes""
  ]
}"
