Product ID,Category,Product Name,Specifications,Bin Location,Datasheet URL,Image URL,Original Source,seo_description,technical_specifications
A2D-1001,Microcontrollers & IoT,MSP EXP 432 P401,Dev Kit,RL6,https://www.ti.com/lit/ds/slas826e/slas826e.pdf,https://www.floridamemory.com/FMP/wpa_county_histories/medium/wpa_county_history_okaloosa_01_01.jpg,,,
A2D-1002,Microcontrollers & IoT,CC31XXEMUBOOST,Rev 3,-,https://www.ti.com/lit/pdf/swrb034,https://www.ti.com/content/dam/ticom/images/products/ic/wireless-connectivity/evm-board/cc31xxemuboost-angled.png,,,
A2D-1003,Microcontrollers & IoT,CC3100 BOOST,-,-,https://www.ti.com/lit/pdf/swru371,https://www.ti.com/content/dam/ticom/images/products/ic/wireless-connectivity/evm-board/cc3100boost-angled.png,,,
A2D-1004,Microcontrollers & IoT,EM 40065,REV 4.0,-,https://docs.penndot.pa.gov/Public/Bureaus/BOCM/BOCM_MTD_LAB/Publications/Pub_35/Current_Edition/Bulletin15.pdf,https://i.ebayimg.com/images/g/LeEAAOSwQL9gqxKW/s-l1200.jpg,,"Discover prequalified materials for Department construction projects with Bulletin 15 (Publication 35). Access searchable database or PDF, view supplier codes and product details, and learn about approval processes.","{
  ""Manufacturer"": ""N/A"",
  ""Voltage"": ""N/A"",
  ""Package"": ""N/A"",
  ""Key Features"": [
    ""Prequalified materials for Department construction projects"",
    ""Searchable database and PDF formats"",
    ""Supplier codes, product names/types/uses""
  ],
  ""Applications"": [
    ""Construction projects""
  ]
}"
A2D-1005,Microcontrollers & IoT,CC3200 MOD,LAUNCHXL (Rev 4),-,https://www.ti.com/lit/ds/symlink/cc3200mod.pdf,https://www.ti.com/content/dam/ticom/images/products/package/m/mob0063a.png:large,,,
A2D-1006,Microcontrollers & IoT,Arduino Nano,Nano Cable with Panduit,-,https://www.bluetooth.com/wp-content/uploads/Files/Specification/Assigned_Numbers.pdf,https://store.arduino.cc/cdn/shop/files/ABX00143_04.box_934x700.jpg?v=1752653288,,,
A2D-1007,Microcontrollers & IoT,Arduino Uno,Logic Level / M45+,-,Not Found,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/6d39760b-6505-4190-95b3-cdb9c8c877f3.__CR956,0,1200,900_PT0_SX600_V1___.jpg",,,
A2D-1008,Microcontrollers & IoT,ESP-32 WROOM,Amit VCC / WROOM-32 / Espire,RB12,https://hmd-wp.go-vip.net/wp-content/uploads/2024/04/Franchise-Disclosure-Document-2024-US-Home2.pdf,https://cdn-shop.adafruit.com/970x728/3269-04.jpg,,,
A2D-1009,Microcontrollers & IoT,ESP8266,Mod (AI-Thinker) / Mini Node MCU,-,https://handsontec.com/dataspecs/module/esp8266-V13.pdf,https://cdn-shop.adafruit.com/970x728/3046-07.jpg,,,
A2D-1010,Microcontrollers & IoT,NRF24L01,Module / Wireless Data Transmission,RB12,https://cwd-dsec.de/fileadmin/content/comot/cwd-dsec/Infoseite/CWD_2025_Conference_Proceedings.pdf,https://www.alstembio.com/web/images/products/NRL01-img1.jpg,,NOT_AVAILABLE,"{
  ""Manufacturer"": ""N/A"",
  ""Voltage"": ""N/A"",
  ""Package"": ""N/A"",
  ""Key Features"": [],
  ""Applications"": []
}"
A2D-1011,Microcontrollers & IoT,STM Lora + Sigfox,Discovery Kit for STM32L072 MCU,-,https://www.st.com/resource/en/product_presentation/fp-atr-lora1_quick_start_guide.pdf,https://cdn-shop.adafruit.com/970x728/3613-01.jpg,,"Discover the A2D-1011, a high-performance electronics component ideal for various applications. Perfect for engineers and professionals needing reliable solutions.","{
  ""Manufacturer"": ""N/A"",
  ""Voltage"": ""N/A"",
  ""Package"": ""N/A"",
  ""Key Features"": [],
  ""Applications"": []
}"
A2D-1012,Microcontrollers & IoT,STM32WL,Wireless Long Range Ultra Micro Power,-,https://www.st.com/resource/en/application_note/an5568-ultralowpower-features-of-stm32wl5xex-microcontrollers-stmicroelectronics.pdf,https://www.st.com/content/dam/category-pages/stm32wl-series/stm32-stm32wl-series-portfolio.jpg,,"Discover the A2D-1012, a high-performance electronics component ideal for various applications. Perfect for engineers and professionals needing reliable solutions.","{
  ""Manufacturer"": ""N/A"",
  ""Voltage"": ""N/A"",
  ""Package"": ""N/A"",
  ""Key Features"": [],
  ""Applications"": []
}"
A2D-1013,Microcontrollers & IoT,STM32L476,Nucleo-64 / MCU High Performance,-,https://www.st.com/resource/en/user_manual/um1724-stm32-nucleo64-boards-mb1136-stmicroelectronics.pdf,https://i.ebayimg.com/images/g/pcEAAOSwm2lmnecI/s-l1200.jpg,,,
A2D-1014,Microcontrollers & IoT,MSP-EXP430G2,TI Launch Pads,BB20,https://www.ti.com/lit/pdf/slau318,https://img.fruugo.com/product/0/45/1845359450_max.jpg,,,
A2D-1015,Microcontrollers & IoT,STM8L / STM8S,Dev Kit Ultra Low Power 8-bit / Mainstream 8-bit,-,https://www.st.com/resource/en/brochure/brstm8.pdf,https://www.st.com/content/ccc/fragment/product_related/subclass_information/subclass_level_diagram/ab/19/7a/fb/8f/89/4c/33/STM8_SC1244.jpg/files/STM8_SC1244.jpg/jcr:content/translations/en.STM8_SC1244.jpg,,,
A2D-1016,Microcontrollers & IoT,XNUCLEO-53L1A1,Expansion Board,-,https://www.st.com/resource/en/data_brief/x-nucleo-53l1a1.pdf,https://www.st.com/bin/ecommerce/api/image.PF265555.en.feature-description-include-personalized-no-cpn-large.jpg,,,
A2D-1017,Microcontrollers & IoT,STM32F446,Nucleo-64 High Performance MCU,-,https://www.st.com/resource/en/user_manual/um1724-stm32-nucleo64-boards-mb1136-stmicroelectronics.pdf,https://www.st.com/content/dam/category-pages/stm32-32-bit-arm-cortex-mcus/stm32armcortexmcu-responsive-portfolio02.jpg,,,
A2D-1018,Microcontrollers & IoT,STM32F401,Nucleo-64,-,https://www.st.com/resource/en/user_manual/um1724-stm32-nucleo64-boards-mb1136-stmicroelectronics.pdf,https://www.st.com/content/dam/category-pages/stm32-32-bit-arm-cortex-mcus/stm32armcortexmcu-responsive-portfolio02.jpg,,,
A2D-1019,Microcontrollers & IoT,STM32F411,Dev Kit High Perf,-,https://www.st.com/resource/en/user_manual/um1472-discovery-kit-with-stm32f407vg-mcu-stmicroelectronics.pdf,https://www.st.com/content/dam/category-pages/stm32-32-bit-arm-cortex-mcus/stm32armcortexmcu-responsive-portfolio02.jpg,,,
A2D-1020,Sensors & Modules,Analog TDS Sensor,Meter for Uno,RL6 (18),https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2309/SEN0244_Web.pdf,https://www.codasensor.com/wp-content/uploads/2024/11/CDT-1T4B-TDS-Sensor.webp,,,
A2D-1021,Sensors & Modules,PT100,Sensor (3 meter),-,https://assets.fishersci.com/TFS-Assets/LED/Specification-Sheets/D21346~.pdf,https://cdn-shop.adafruit.com/970x728/3328-06.jpg,,,
A2D-1022,Sensors & Modules,EM-18,RFID Reader / Serial + TTL,RB10,https://www.rhydolabz.com/documents/micro_RFID_reader_datasheet.pdf,https://m.media-amazon.com/images/I/81a6WDMDP4L.jpg,,,
A2D-1023,Sensors & Modules,RFID Reader/Writer,13.56MHz USB,-,https://files.identiv.com/products/smart-card-readers/contactless/3700/uTrust_3700_F_Contactless_Smart_Card_Reader.pdf,https://assets.omron.com/m/00c5f1e452fd0113/Square_M-V780_UHF_Product_Image-jpg.jpg,,,
A2D-1024,Sensors & Modules,LDR Sensor,-,RB7 (8),https://components101.com/sites/default/files/component_datasheet/LDR%20Datasheet.pdf,http://www.truspeed.co.uk/cdn/shop/products/71_grande.jpg?v=1474823915,,,
A2D-1025,Sensors & Modules,Sound Sensors,-,RB7 (18),https://resource.milesight.com/milesight/iot/document/ws302-datasheet-en.pdf,https://cdn2.webdamdb.com/md_oFtXUczy87k9.png?1536081064,,,
A2D-1026,Sensors & Modules,Hall Effect Sensors,-,RB7 (6),https://www.ti.com/lit/gpn/DRV5023,https://accucdn.accuenergy.com/wp-content/uploads/hak-quarter-left.jpg,,,
A2D-1027,Sensors & Modules,W1209,Temperature Controller / Sensor,-,https://www.kelco.rs/katalog/images/17670.pdf,"https://m.media-amazon.com/images/I/71XlsvCFCdL._AC_UF894,1000_QL80_.jpg",,,
A2D-1028,Sensors & Modules,LM393,-,-5,https://www.onsemi.com/download/data-sheet/pdf/lm393-d.pdf,https://www.ti.com/ds_dgm/images/fbd_slcs005ah.svg,,,
A2D-1029,Sensors & Modules,LM2596,-,-,https://www.ti.com/lit/ds/symlink/lm2596.pdf,"https://m.media-amazon.com/images/I/71HfxNInzjL._AC_UF1000,1000_QL80_.jpg",,,
A2D-1030,Sensors & Modules,MCP 2515 CAN,-,-,https://ww1.microchip.com/downloads/en/DeviceDoc/MCP2515-Stand-Alone-CAN-Controller-with-SPI-20001801J.pdf,https://m.media-amazon.com/images/I/61CvGeoPxfL.jpg,,,
A2D-1031,Sensors & Modules,Fingerprint Sensor,R307 / 62,RB9 (18/16),https://www.e3s-conferences.org/articles/e3sconf/pdf/2024/37/e3sconf_icftest2024_01037.pdf,https://www.j-display.com/images/product/fpsensor/img_01_sp.webp,,,
A2D-1032,Sensors & Modules,ULN2003,-,RB14 (20),https://www.st.com/resource/en/datasheet/uln2001.pdf,"https://m.media-amazon.com/images/I/71pasrY8IzL._AC_UF1000,1000_QL80_.jpg",,,
A2D-1033,Sensors & Modules,TEC1-12715,Peltier Module,RB14,https://peltiermodules.com/peltier.datasheet/TEC1-12715.pdf,"https://m.media-amazon.com/images/I/41vb0KsvJGL._AC_UF1000,1000_QL80_.jpg",,,
A2D-1034,Sensors & Modules,MAX7219,Dot Matrix Single Module / 8x8,-4,https://www.handsontec.com/dataspecs/module/MAX7219-4-In-1.pdf,https://cdn-shop.adafruit.com/970x728/453-01.jpg,,,
A2D-1035,Sensors & Modules,Digital Particle,585022 Module Concentration / PM2.5 Air Quality,-,Not Found,https://images.ctfassets.net/ity165ek7v1z/3pImQqVaVrEtcjypeD7eGP/4c1c60efc70e638e889ee313fb16246a/Meet_Particle_Ledger__the_digital_representation_of_your_product_cropped_.jpg?w=900&h=684&fl=progressive&q=80&fm=jpg,,,
A2D-1036,Sensors & Modules,MQ7,Gas Sensor,-,https://www.sparkfun.com/datasheets/Sensors/Biometric/MQ-7.pdf,https://m.media-amazon.com/images/I/61YTVhc8JpL.jpg,,,
A2D-1037,Sensors & Modules,US-100,Ultrasonic,-,https://media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/4019_Web.pdf,https://dupont.scene7.com/is/image/Dupont/styrofoam-brand-highload-100-product-logo-image1,,,
A2D-1038,Drones & RC,Mini Camera (FPV),HD Colour 700TVL,RB11,https://www.str-subsea.com/wp-content/uploads/2025/03/STR_SeaSpectrum-Miniature-Tooling-Camera-Datasheet-V2_181123_165932_2023-01-25-133021_agge.pdf,"https://m.media-amazon.com/images/I/71SgOiTmgcL._AC_UF894,1000_QL80_.jpg",,,
A2D-1039,Drones & RC,Foxeer Razer Micro,FPV Camera,-,https://www.flyingtech.co.uk/wp-content/uploads/2024/02/Holybro_Kopis-CineWhoopAnalog_VTx_version_Manual.pdf,https://m.media-amazon.com/images/I/51qayM5ADgL.jpg,,,
A2D-1040,Drones & RC,JPEG Camera,TTL,-,https://cdn-learn.adafruit.com/downloads/pdf/ttl-serial-camera.pdf,https://cdn-shop.adafruit.com/970x728/1386-04.jpg,,,
A2D-1041,Drones & RC,APM 2.8,Flight Controller,-,https://images-eu.ssl-images-amazon.com/images/I/B1RQzOVDE1S.pdf,"https://m.media-amazon.com/images/I/717XqNfYb2L._AC_UF894,1000_QL80_.jpg",,,
A2D-1042,Drones & RC,GPS M8N,-,-,https://content.u-blox.com/sites/default/files/NEO-M8-FW3_DataSheet_UBX-15031086.pdf,"https://m.media-amazon.com/images/I/51Syjm96XkL._AC_UF894,1000_QL80_.jpg",,,
A2D-1043,Drones & RC,Pix Hawk,Flight Controller,-,https://cdn.sparkfun.com/assets/d/d/9/9/3/Pixhawk4-DataSheet.pdf,https://www.beekshop.com/cdn/shop/files/hawk-black-beek-womens-boot-1.jpg?v=1754964282&width=1500,,,
A2D-1044,Drones & RC,Telemetry,-,-,https://www.infineon.com/dgdl/Infineon-IRPS5401M-DataSheet-v02_06-EN.pdf?fileId=5546d4625cc9456a015cd69d402139db,https://res.cloudinary.com/dohtidfqh/image/upload/v1566607079/web-guiguio/1_sjURvFZYqvDDyJzJytK3MQ.png,,,
A2D-1045,Drones & RC,Johnston Motor,300RPM,RB13,https://5.imimg.com/data5/UP/ZL/ZZ/SELLER-9353586/johnson-high-torque-dc-geared-motor-300rpm-with-driver-grade-a.pdf,"https://m.media-amazon.com/images/I/61LBxtjHNHL._AC_UF1000,1000_QL80_.jpg",,,
A2D-1046,Drones & RC,Motor Speed Controller,DC 12V,RB13,https://www.ti.com/lit/gpn/DRV8840,https://m.media-amazon.com/images/I/71wvYRlRUjL.jpg,,,
A2D-1047,Cooling Fans,Delta PFC1212DE (120x120x38,DC 12V,F43,https://www.mouser.com/datasheet/2/632/Delta_PWM-1003558.pdf,https://www.delta-fan.com/pub/media/catalog/product/cache/3fba745dcec88e97bfe808bedc471260/p/f/pfc120x38mm_1_1.jpg,,,
A2D-1048,Cooling Fans,3.90A / 4.80A),DC 12V,F43,https://www.tempelgroup.com/catalogos/energia/catalogo_panasonic_baterias_vrla.pdf,https://www.delta-fan.com/pub/media/catalog/product/cache/3fba745dcec88e97bfe808bedc471260/q/f/qfr0912_92x25.4mm.png,,,
